Label,Time
Long Standing,18
Bowing,4
Short Standing,1
1st Prostration,2
Short Sitting,1
2nd Prostration,4
Long Standing,13
Bowing,2
Short Standing,3
1st Prostration,3
Short Sitting,1
2nd Prostration,3
Long Sitting,9
Long Standing,7
Bowing,3
Short Standing,2
1st Prostration,2
Short Sitting,2
2nd Prostration,4
Long Standing,11
Bowing,3
Short Standing,3
1st Prostration,2
Short Sitting,2
2nd Prostration,4
Long Sitting,24
