Label,Time
Long Standing,25
Bowing,4
Short Standing,3
1st Prostration,3
Short Sitting,1
2nd Prostration,4
Long Standing,14
Bowing,3
Short Standing,3
1st Prostration,3
Short Sitting,1
2nd Prostration,3
Long Sitting,15
