Label,Time
Long Standing,18
Bowing,4
Short Standing,2
1st Prostration,6
Short Sitting,2
2nd Prostration,3
Long Standing,17
Bowing,3
Short Standing,3
1st Prostration,4
Short Sitting,1
2nd Prostration,5
Long Sitting,18
