Label,Time
Long Standing,18
Bowing,3
Short Standing,2
1st Prostration,5
Short Sitting,1
2nd Prostration,4
Long Standing,15
Bowing,3
Short Standing,2
1st Prostration,5
Short Sitting,1
2nd Prostration,5
Long Sitting,9
Long Standing,12
Bowing,3
Short Standing,2
1st Prostration,5
Short Sitting,2
2nd Prostration,4
Long Sitting,16
