Label,Time
Long Standing,16
Bowing,2
Short Standing,3
1st Prostration,4
Short Sitting,1
2nd Prostration,4
Long Standing,15
Bowing,4
Short Standing,3
1st Prostration,5
Short Sitting,2
2nd Prostration,4
Long Sitting,8
Long Standing,13
Bowing,4
Short Standing,2
1st Prostration,5
Short Sitting,2
2nd Prostration,5
Long Standing,14
Bowing,4
Short Standing,3
1st Prostration,5
Short Sitting,1
2nd Prostration,4
Long Sitting,14
