Label,Time
Long Standing,20
Bowing,4
Short Standing,2
1st Prostration,2
Short Sitting,1
2nd Prostration,4
Long Standing,9
Bowing,3
Short Standing,1
1st Prostration,2
Short Sitting,1
2nd Prostration,3
Long Sitting,13
Long Standing,10
Bowing,3
Short Standing,2
1st Prostration,2
Short Sitting,1
2nd Prostration,3
Long Sitting,22
