angleX,angleY,angleZ,Time,
3.5003204,-7.9583282,5.659897,22:48:17,
3.1220398,-7.340622,5.463562,22:48:17,
3.055008,-7.8050995,7.249649,22:48:17,
4.1611176,-4.6830597,8.068466,22:48:18,
3.6583405,-1.8387451,9.265564,22:48:18,
3.6200256,5.2959747,6.9479675,22:48:18,
-0.6320648,7.0724792,3.1986542,22:48:18,
-2.0973206,9.088394,2.8634644,22:48:19,
-2.4133606,9.069229,2.8778381,22:48:19,
-1.8866272,6.9910736,1.8578949,22:48:19,
7.3693542,0.3830719,8.528152,22:48:19,
8.140289,-1.9201508,9.064453,22:48:20,
10.06044,-4.3670197,4.443634,22:48:20,
9.222458,-3.902542,0.01914978,22:48:20,
9.56723,-4.141968,-0.12928772,22:48:20,
9.490616,-3.7014313,-1.3982086,22:48:21,
8.609543,-4.098877,-1.312027,22:48:21,
8.67659,-4.323929,-1.4077911,22:48:21,
8.863342,-4.304779,-1.493988,22:48:21,
9.385269,-4.9081116,-1.4125824,22:48:22,
8.494629,-4.3813934,-0.9816284,22:48:22,
9.39006,-3.9839478,-1.1109161,22:48:22,
8.786728,-3.849884,-1.0869751,22:48:22,
8.595184,-3.9935303,-1.1204834,22:48:23,
8.858551,-4.3382874,-1.2114716,22:48:23,
8.944733,-3.9312744,-0.9864044,22:48:23,
9.18895,-3.9121246,-0.6320648,22:48:23,
9.303864,-3.8690338,-0.5985565,22:48:24,
9.23204,-3.423706,-0.7757263,22:48:24,
9.1410675,-3.6535492,-0.69911194,22:48:24,
8.805878,-3.739746,-0.81881714,22:48:24,
8.700531,-3.6822815,-0.82839966,22:48:25,
9.40921,-3.624817,-0.5746155,22:48:25,
9.385269,-3.485962,-0.91937256,22:48:25,
9.150635,-3.8163605,-0.59376526,22:48:26,
8.781937,-3.7445374,-0.72784424,22:48:26,
8.9830475,-3.624817,-0.6368561,22:48:26,
9.03093,-3.6200256,-0.67037964,22:48:26,
8.85376,-3.4524384,-0.723053,22:48:27,
8.815445,-3.4620209,-0.55545044,22:48:27,
9.423584,-3.4715881,-0.33998108,22:48:27,
8.705322,-3.6822815,-0.48841858,22:48:27,
8.65744,-3.7780457,-0.3256073,22:48:28,
8.968674,-3.7205963,-0.55545044,22:48:28,
9.366119,-3.8019867,-0.22984314,22:48:28,
8.748413,-3.6008759,0.01914978,22:48:28,
8.978256,-3.806778,-0.04788208,22:48:29,
8.786728,-4.01268,-0.13407898,22:48:29,
8.882492,-3.9983215,-0.26815796,22:48:29,
8.916,-3.9360657,-0.40701294,22:48:29,
8.892059,-4.18985,-0.30166626,22:48:30,
8.901642,-4.1515503,-0.3830719,22:48:30,
8.796295,-4.1802826,-0.40222168,22:48:30,
8.930374,-4.098877,-0.22505188,22:48:30,
8.935165,-3.988739,-0.24899292,22:48:31,
8.944733,-3.8833923,-0.01914978,22:48:31,
9.097961,-3.7876282,-0.07661438,22:48:31,
9.174576,-3.806778,-0.10055542,22:48:31,
9.03093,-3.6870728,-0.2059021,22:48:32,
9.088394,-3.8690338,-0.27293396,22:48:32,
9.03093,-3.7780457,-0.17237854,22:48:32,
9.016571,-3.873825,0.0143585205,22:48:32,
8.916,-3.902542,0.0047912598,22:48:33,
8.978256,-3.8833923,0.07182312,22:48:33,
8.978256,-3.8833923,0.22505188,22:48:33,
8.949524,-3.7541046,0.1484375,22:48:33,
8.542511,-4.3909607,-0.25378418,22:48:34,
