angleX,angleY,angleZ,Time,
3.4811707,-4.7261505,6.301544,22:57:15,
3.193863,-9.07402,3.6200256,22:57:15,
5.08049,1.4125824,2.0063477,22:57:17,
-3.193863,6.004654,3.5242615,22:57:17,
-4.007889,3.5386353,0.9002228,22:57:17,
7.2209167,-1.2066803,-4.285614,22:57:18,
8.398865,-2.7150269,-4.989517,22:57:18,
7.8912964,-2.7964325,-4.8171387,22:57:18,
6.8043213,-2.6000977,-4.687851,22:57:19,
6.4260406,-2.5522156,-4.778824,22:57:19,
8.226471,-3.7876282,-5.2959747,22:57:19,
7.800308,-3.083725,-4.936844,22:57:19,
7.637497,-2.94487,-5.0900726,22:57:20,
7.929596,-3.289627,-5.3582306,22:57:20,
6.7803802,-3.3566742,-5.0661316,22:57:20,
7.2209167,-3.5482025,-5.391739,22:57:20,
7.7380676,-3.5865173,-5.1283875,22:57:21,
7.7093353,-3.351883,-5.0613403,22:57:21,
7.546524,-3.351883,-5.032608,22:57:21,
7.2161255,-3.557785,-4.9464264,22:57:21,
7.6662292,-3.241745,-5.142746,22:57:22,
6.7660217,-4.2089996,-5.90889,22:57:22,
6.727707,-4.055771,-5.300766,22:57:22,
6.6127777,-4.218582,-5.779602,22:57:22,
6.5122223,-4.079727,-5.669464,22:57:23,
6.7372894,-4.3861847,-5.6742554,22:57:23,
6.895294,-4.376602,-5.487503,22:57:23,
6.7707977,-4.4053345,-5.5880737,22:57:23,
7.0724792,-3.9217072,-5.4683533,22:57:24,
6.9623413,-3.964798,-5.4539948,22:57:24,
6.81868,-3.672699,-5.4061127,22:57:24,
7.412445,-4.400543,-5.262451,22:57:24,
6.995865,-3.8115692,-5.4300537,22:57:25,
6.5553284,-3.8115692,-5.3821716,22:57:25,
6.789963,-3.9264984,-5.5401764,22:57:25,
6.7229156,-4.1323853,-5.391739,22:57:25,
7.000641,-3.8403015,-5.803543,22:57:26,
6.282379,-4.5872955,-5.2002106,22:57:26,
6.569687,-4.673477,-5.2002106,22:57:26,
6.430832,-4.577713,-5.0661316,22:57:26,
7.632721,-4.443634,-5.621582,22:57:27,
6.7851715,-4.2281647,-4.893753,22:57:27,
7.7189026,-4.079727,-5.5162354,22:57:27,
6.909668,-4.443634,-5.3582306,22:57:27,
7.3741455,-4.0653534,-5.1092224,22:57:28,
7.484268,-4.1180267,-5.0852814,22:57:28,
7.11557,-3.6104584,-4.692642,22:57:28,
7.378937,-3.7924194,-4.936844,22:57:28,
7.5369415,-3.849884,-5.0134583,22:57:29,
7.436386,-3.9935303,-4.9464264,22:57:29,
7.460327,-3.8881836,-5.051773,22:57:29,
7.460327,-3.8881836,-5.051773,22:57:29,
7.5369415,-4.003113,-4.9559937,22:57:30,
7.541733,-3.8450928,-4.8362885,22:57:30,
7.675812,-3.8833923,-4.936844,22:57:30,
7.5130005,-3.7014313,-4.7740326,22:57:30,
7.5321655,-3.7062225,-4.644745,22:57:31,
7.7141113,-3.7972107,-4.668701,22:57:31,
7.7380676,-3.8355103,-4.7213593,22:57:31,
7.7572174,-3.8163605,-4.802765,22:57:31,
7.6901703,-3.8355103,-4.7453156,22:57:32,
7.680603,-3.85466,-4.7692566,22:57:32,
7.7189026,-3.7924194,-4.7022095,22:57:32,
7.7093353,-3.988739,-4.754883,22:57:32,
8.078033,-3.7876282,-4.7165833,22:57:33,
7.680603,-3.9073334,-4.66391,22:57:33,
7.656662,-3.7301636,-4.8410797,22:57:33,
7.3980865,-4.003113,-4.917694,22:57:33,
7.7572174,-3.916916,-4.9512024,22:57:34,
7.3932953,-3.988739,-4.984726,22:57:34,
7.3262634,-3.9839478,-4.9990997,22:57:34,
7.426819,-3.8929749,-4.9751587,22:57:34,
7.412445,-4.027054,-4.936844,22:57:35,
7.436386,-3.9935303,-4.9320526,22:57:35,
7.4890594,-4.0653534,-4.9320526,22:57:35,
7.378937,-4.0414124,-4.965576,22:57:35,
7.0341644,-4.218582,-5.027817,22:57:36,
0.56503296,-5.23851,-2.9161377,22:57:36,
3.0119019,-9.327805,-3.1555634,22:57:36,
-2.4181366,-9.078812,-4.237732,22:57:37,
-2.8634644,-9.217682,-2.9783936,22:57:37,
-1.7286072,-8.753204,-3.3423004,22:57:37,
-2.0446472,-9.059662,-3.1603394,22:57:38,
-1.8770599,-9.1458435,-3.6535492,22:57:38,
-2.221817,-9.016571,-3.26091,22:57:38,
-2.0302887,-9.217682,-3.5960846,22:57:38,
-1.9776154,-9.126694,-3.7493134,22:57:39,
-1.493988,-8.978256,-3.4332886,22:57:39,
-1.6950989,-8.935165,-3.4907532,22:57:39,
-2.245758,-8.916,-3.4189148,22:57:39,
-2.6000977,-8.906433,-3.6822815,22:57:40,
-1.8578949,-8.916,-3.2992096,22:57:40,
-1.7477722,-9.064453,-3.3040009,22:57:40,
-2.0685883,-8.968674,-3.423706,22:57:40,
-1.9153595,-9.121902,-3.2752686,22:57:41,
0.4692688,-9.629486,-1.1252747,22:57:41,
1.1587982,-8.298309,-0.1484375,22:57:41,
1.4652557,-8.820236,0.2633667,22:57:42,
1.4269409,-9.629486,1.5179291,22:57:42,
1.3742676,-9.270355,1.1875305,22:57:42,
1.742981,-9.691727,1.9153595,22:57:43,
1.3982086,-9.600754,1.2928619,22:57:43,
1.3455353,-9.667786,1.2641449,22:57:43,
1.5274963,-9.624695,1.2880859,22:57:43,
1.7046661,-9.825806,1.1061249,22:57:44,
1.2210388,-9.370911,0.39265442,22:57:44,
0.99598694,-8.279144,-0.87628174,22:57:44,
1.5706024,-6.277603,1.1396332,22:57:44,
2.4995422,-8.69574,4.0701447,22:57:45,
2.7293854,-7.6710205,5.4300537,22:57:46,
4.7261505,-6.430832,6.1291504,22:57:46,
5.2480927,-5.9711456,5.9711456,22:57:46,
4.9990997,-6.4691315,5.420471,22:57:46,
5.123596,-6.1818237,5.5114594,22:57:47,
5.23851,-6.200989,5.5114594,22:57:47,
5.3055573,-6.0190277,5.755661,22:57:47,
5.3773804,-6.3542175,5.094864,22:57:47,
5.228943,-6.4739227,5.094864,22:57:48,
5.228943,-6.598419,4.888962,22:57:48,
4.515457,-6.655884,5.209778,22:57:48,
5.434845,-3.8833923,6.727707,22:57:48,
6.0573273,-4.0222626,6.9719086,22:57:49,
4.280838,-9.054871,4.1802826,22:57:49,
8.192963,-4.3861847,7.27359,22:57:49,
5.8945312,-6.210556,6.253662,22:57:49,
1.9440918,-6.0142365,7.6853943,22:57:50,
2.7341766,-5.645523,7.29274,22:57:50,
2.2313995,-5.9472046,7.278366,22:57:50,
0.1197052,-3.2513275,8.781937,22:57:50,
-1.4221497,-6.497864,0.723053,22:57:51,
1.7142487,-2.8395233,6.847412,22:57:51,
5.5162354,-1.7286072,8.049301,22:57:51,
5.2959747,-6.033386,5.5689087,22:57:51,
5.4922943,-6.1339417,5.3103333,22:57:52,
5.439621,-6.04776,5.439621,22:57:52,
5.9711456,-5.774811,5.319916,22:57:52,
5.5737,-5.937622,5.3342743,22:57:52,
5.5737,-5.937622,5.3342743,22:57:53,
5.827484,-5.8993073,5.205002,22:57:53,
5.6263733,-5.985504,5.0421906,22:57:53,
5.7269287,-6.1100006,5.286392,22:57:53,
5.391739,-6.545746,4.5825043,22:57:54,
6.6080017,-5.9998627,4.869812,22:57:54,
5.530609,-5.90889,5.501877,22:57:54,
5.659897,-6.3733673,5.664688,22:57:54,
0.9624634,-8.48027,1.3407593,22:57:55,
6.6941833,-1.5658112,5.6024323,22:57:55,
-0.33998108,-9.581589,1.5658112,22:57:55,
1.470047,-9.821014,3.1172485,22:57:55,
3.0454254,-4.515457,0.13407898,22:57:56,
5.6024323,-2.111679,-3.1842957,22:57:56,
6.794739,-2.4373016,-4.831497,22:57:57,
9.58638,-2.3223724,-3.5625763,22:57:57,
7.2879486,-3.0693665,-3.5146942,22:57:57,
7.9200134,-3.2800598,-4.003113,22:57:57,
8.667007,-2.6815033,-4.7261505,22:57:58,
8.149857,-3.351883,-4.625595,22:57:58,
7.7572174,-3.2369537,-4.5872955,22:57:58,
7.5369415,-3.6152496,-4.596863,22:57:58,
7.838623,-3.6008759,-4.534622,22:57:59,
7.1682434,-3.4524384,-4.759674,22:57:59,
7.881714,-3.4955292,-4.5010986,22:57:59,
7.7141113,-3.7780457,-4.831497,22:57:59,
8.097183,-3.2561188,-4.5202484,22:58:00,
8.087616,-3.4907532,-4.5394135,22:58:00,
7.996628,-3.4667969,-4.3670197,22:58:00,
8.188171,-3.3662415,-4.400543,22:58:00,
