angleX,angleY,angleZ,Time,
5.9040985,-4.0940857,6.497864,22:51:20,
5.9040985,-4.1371765,6.5170135,22:51:21,
6.143524,-3.4811707,6.6989746,22:51:21,
7.024582,-1.0007782,7.2161255,22:51:21,
5.1571045,-1.8578949,7.747635,22:51:21,
-2.4085693,-3.2752686,4.1994324,22:51:22,
2.9783936,-3.4955292,8.528152,22:51:22,
4.4244843,-4.5825043,7.8960724,22:51:22,
3.6631317,-4.9703674,7.5369415,22:51:22,
3.9360657,-5.008667,7.45076,22:51:23,
4.050995,-5.1140137,6.813904,22:51:23,
4.4292755,-6.4739227,8.6909485,22:51:23,
4.232956,-9.246414,5.348648,22:51:23,
4.280838,-5.4539948,7.2831573,22:51:24,
5.104431,-5.0038757,7.0628967,22:51:24,
4.1180267,-5.2480927,7.048523,22:51:24,
4.7644653,-5.7604523,6.435608,22:51:24,
5.3773804,-6.0812683,5.5593414,22:51:25,
5.051773,-6.0573273,5.8131256,22:51:25,
5.123596,-6.0190277,5.7508698,22:51:25,
5.1140137,-6.0381775,5.7269287,22:51:25,
4.936844,-6.4739227,5.391739,22:51:26,
4.7740326,-6.5888367,5.391739,22:51:26,
5.0038757,-6.6510925,5.123596,22:51:26,
4.5825043,-6.0621185,6.3589935,22:51:26,
4.7884064,-6.847412,5.664688,22:51:27,
-3.85466,-7.723694,-0.07182312,22:51:27,
4.108444,-8.245636,9.184158,22:51:27,
0.25857544,-8.992615,3.5290527,22:51:28,
1.2545624,-2.810791,0.49320984,22:51:28,
5.1092224,-1.5993195,0.7374115,22:51:29,
6.0621185,-2.9783936,-3.5003204,22:51:29,
9.447525,-3.193863,-3.9073334,22:51:29,
8.576035,-3.0885162,-3.964798,22:51:29,
8.355759,-3.2513275,-3.667923,22:51:30,
8.32225,-3.3566742,-3.7349548,22:51:30,
8.20253,-3.327942,-3.7636871,22:51:30,
8.087616,-3.5146942,-3.69664,22:51:30,
8.69574,-3.533844,-3.7684784,22:51:31,
8.542511,-3.5529938,-3.8642426,22:51:31,
8.432373,-3.26091,-3.672699,22:51:31,
8.49942,-3.2561188,-3.648758,22:51:31,
8.298309,-3.447647,-3.691864,22:51:32,
8.547302,-3.375824,-3.7445374,22:51:32,
8.49942,-3.2465363,-3.7253723,22:51:32,
8.3797,-3.1603394,-3.8163605,22:51:32,
8.403656,-3.5721436,-3.7972107,22:51:33,
8.188171,-3.4332886,-3.8211517,22:51:33,
8.32225,-3.447647,-3.897766,22:51:33,
8.49942,-3.1699219,-3.9456482,22:51:33,
8.3414,-3.3566742,-3.8355103,22:51:34,
8.288727,-3.3614655,-3.7732544,22:51:34,
8.274368,-3.4524384,-3.8115692,22:51:34,
8.130707,-3.5769348,-3.605667,22:51:34,
8.36055,-3.4380798,-3.7541046,22:51:35,
8.327026,-3.6008759,-3.7349548,22:51:35,
8.078033,-3.4907532,-3.667923,22:51:35,
8.398865,-3.4572296,-3.7493134,22:51:35,
8.53772,-3.902542,-3.8211517,22:51:36,
8.154648,-3.2944183,-3.7924194,22:51:36,
8.432373,-3.4572296,-3.8594513,22:51:36,
