angleX,angleY,angleZ,Time,
2.62883,-7.402878,6.526596,22:56:42,
2.6432037,-6.9431915,6.497864,22:56:42,
2.700653,-7.0341644,6.871353,22:56:43,
2.446869,-6.5074463,7.881714,22:56:43,
4.7692566,2.2122498,6.440399,22:56:43,
0.8092346,7.249649,3.126831,22:56:44,
-2.269699,8.71489,2.6575623,22:56:44,
-2.0973206,9.136276,2.6623535,22:56:44,
-0.37828064,5.9184723,0.07661438,22:56:44,
9.773132,-4.34787,3.7253723,22:56:45,
9.691727,-2.3941956,1.7812805,22:56:45,
9.619904,-4.4053345,-0.3256073,22:56:45,
9.078812,-4.2089996,-0.7374115,22:56:46,
8.959106,-4.285614,-0.91937256,22:56:46,
8.868118,-4.304779,-1.1923065,22:56:46,
8.896851,-4.2233734,-1.043869,22:56:46,
8.85376,-4.098877,-1.2354126,22:56:47,
8.916,-4.3574524,-1.1300659,22:56:47,
8.734055,-4.285614,-1.2545624,22:56:47,
9.016571,-4.3191376,-1.1970978,22:56:47,
8.662216,-4.237732,-1.2880859,22:56:48,
8.609543,-4.3143463,-1.3886414,22:56:48,
8.69574,-4.2904053,-1.5083466,22:56:48,
8.719681,-4.237732,-1.4413147,22:56:48,
8.858551,-4.261673,-1.4604645,22:56:49,
8.686157,-4.34787,-1.5610199,22:56:49,
8.671799,-4.2089996,-1.5945435,22:56:49,
8.705322,-4.242523,-1.6424255,22:56:49,
8.652649,-4.237732,-1.6711578,22:56:50,
8.724472,-4.285614,-1.7286072,22:56:50,
8.662216,-4.3622284,-1.6184845,22:56:50,
8.724472,-4.232956,-1.6232758,22:56:50,
8.65744,-4.2281647,-1.6424255,22:56:51,
8.65744,-4.2904053,-1.6136932,22:56:51,
8.633499,-4.237732,-1.6376343,22:56:51,
8.6909485,-4.280838,-1.6950989,22:56:52,
8.67659,-4.218582,-1.6855164,22:56:52,
8.619125,-4.2281647,-1.8243866,22:56:52,
8.638275,-4.256897,-1.6807251,22:56:52,
8.643066,-4.194641,-1.6998901,22:56:53,
8.69574,-4.2233734,-1.6998901,22:56:53,
8.753204,-4.1850586,-1.6519928,22:56:53,
