angleX,angleY,angleZ,Time,
3.031067,-6.7803802,6.3494263,22:44:05,
2.8826141,-6.6894073,6.387726,22:44:05,
2.7341766,-6.81868,6.1483154,22:44:05,
2.7485504,-7.479492,5.669464,22:44:05,
1.9201508,-7.886505,7.5369415,22:44:06,
3.4620209,-5.779602,9.045288,22:44:06,
6.8761444,-2.197876,9.327805,22:44:06,
3.691864,4.941635,3.265686,22:44:06,
-0.01914978,7.7572174,3.1124573,22:44:07,
-2.3654785,8.767563,3.2465363,22:44:07,
-3.3901825,8.461105,2.676712,22:44:07,
1.5849609,6.143524,4.18985,22:44:07,
9.165009,-0.93852234,7.9487457,22:44:08,
8.762772,-3.1699219,5.1523285,22:44:08,
8.609543,-4.5489807,-0.31604004,22:44:08,
9.126694,-4.5872955,-0.76135254,22:44:09,
8.65744,-4.036621,-1.4365234,22:44:09,
8.216904,-3.988739,-1.6903076,22:44:09,
8.585602,-4.261673,-1.5083466,22:44:09,
8.595184,-4.395752,-1.6807251,22:44:10,
8.757996,-4.553772,-1.742981,22:44:10,
8.504211,-4.4484253,-1.6950989,22:44:10,
8.489838,-4.558563,-1.742981,22:44:10,
9.236832,-4.3909607,-1.4317322,22:44:11,
8.475479,-4.4963074,-1.8578949,22:44:11,
8.585602,-4.620804,-1.6232758,22:44:11,
8.451538,-4.6543274,-1.5849609,22:44:11,
8.623917,-4.5872955,-1.6711578,22:44:12,
8.456314,-4.6351776,-1.5993195,22:44:12,
8.595184,-4.515457,-1.5849609,22:44:12,
8.719681,-4.5202484,-1.6424255,22:44:12,
8.542511,-4.4723663,-1.6280518,22:44:13,
8.65744,-4.5202484,-1.7525482,22:44:13,
8.614334,-4.462799,-1.766922,22:44:13,
8.619125,-4.515457,-1.7286072,22:44:13,
8.446747,-4.4963074,-1.7190399,22:44:14,
8.628708,-4.534622,-1.632843,22:44:14,
8.532928,-4.529831,-1.5801697,22:44:14,
8.628708,-4.4963074,-1.7094574,22:44:14,
8.446747,-4.4053345,-1.5274963,22:44:15,
8.599976,-4.371811,-1.2545624,22:44:15,
8.628708,-4.4771576,-1.1970978,22:44:15,
8.777145,-4.2904053,-1.335968,22:44:15,
8.71489,-4.32872,-1.2162476,22:44:16,
8.839386,-4.1754913,-0.8427582,22:44:16,
8.753204,-3.9552155,-0.28251648,22:44:16,
8.844177,-4.03183,-0.48841858,22:44:16,
9.040512,-3.940857,-0.38786316,22:44:17,
8.820236,-3.9121246,-0.28730774,22:44:17,
8.8489685,-3.9600067,-0.42138672,22:44:17,
9.088394,-3.964798,-0.33518982,22:44:17,
9.078812,-3.8642426,-0.5506592,22:44:18,
8.978256,-3.8211517,-0.38786316,22:44:18,
9.270355,-3.7110138,-0.5027771,22:44:18,
8.820236,-3.9743805,-0.6655884,22:44:18,
8.887283,-4.007889,-0.8427582,22:44:19,
8.489838,-4.371811,-1.1348572,22:44:19,
8.753204,-4.3622284,-1.1300659,22:44:19,
8.700531,-4.458008,-1.2737122,22:44:19,
8.65744,-4.5872955,-1.3455353,22:44:20,
8.6909485,-4.376602,-1.4125824,22:44:20,
8.595184,-4.3574524,-1.4125824,22:44:20,
8.671799,-4.2951965,-1.3215942,22:44:20,
8.734055,-4.3813934,-1.2785034,22:44:21,
8.65744,-4.400543,-1.2449799,22:44:21,
8.67659,-4.438843,-1.2210388,22:44:21,
8.748413,-4.352661,-1.0582428,22:44:21,
8.753204,-4.5250397,-0.7517853,22:44:22,
7.60878,-4.855438,-0.42138672,22:44:22,
7.503433,-6.6941833,-0.6799469,22:44:22,
5.166687,-8.092407,-0.6943207,22:44:22,
2.671936,-9.23204,-0.588974,22:44:23,
-0.5315094,-9.988617,-3.485962,22:44:23,
-0.45489502,-9.447525,-3.6008759,22:44:23,
-0.21548462,-8.892059,-3.8642426,22:44:24,
-1.4029999,-8.604767,-4.32872,22:44:24,
-1.632843,-8.719681,-4.6351776,22:44:24,
-1.0773926,-8.609543,-4.6351776,22:44:24,
-1.0486603,-8.599976,-4.6830597,22:44:25,
-0.96725464,-8.67659,-4.6591187,22:44:25,
-0.9576874,-8.681381,-4.644745,22:44:25,
-0.8236084,-8.65744,-4.5633545,22:44:25,
-0.6320648,-8.748413,-4.5729218,22:44:26,
-0.64164734,-8.743622,-4.639969,22:44:26,
-1.5322876,-9.313446,-4.616028,22:44:26,
-0.93852234,-8.796295,-3.85466,22:44:26,
-1.0343018,-9.56723,-3.0645752,22:44:27,
-0.53630066,-9.686935,-1.9536743,22:44:27,
0.16281128,-9.40921,-1.0055695,22:44:27,
1.3503265,-9.576813,0.1484375,22:44:27,
1.5897522,-9.318237,0.5602417,22:44:28,
1.8866272,-9.519348,0.84754944,22:44:28,
1.9728241,-9.667786,1.2928619,22:44:28,
1.8962097,-9.552872,1.0343018,22:44:28,
1.7477722,-9.801865,0.97683716,22:44:29,
1.3263855,-9.562439,0.9720459,22:44:29,
1.5466614,-9.471466,0.0143585205,22:44:29,
1.0103607,-8.844177,-0.723053,22:44:29,
2.3128052,-9.078812,-0.38786316,22:44:30,
2.5234833,-8.844177,0.7757263,22:44:30,
5.3294983,-9.289505,2.2840729,22:44:30,
4.467575,-6.052536,3.533844,22:44:30,
2.3511047,-9.150635,5.5737,22:44:31,
1.6903076,-9.610321,2.3271637,22:44:31,
4.6351776,-5.477936,6.6080017,22:44:31,
5.6551056,-3.648758,7.1203613,22:44:32,
5.4492035,-3.7541046,7.0964203,22:44:32,
5.71257,-3.6104584,7.067688,22:44:32,
5.827484,-3.5913086,6.890518,22:44:32,
5.9472046,-3.8019867,6.7612305,22:44:33,
6.1722565,-3.643982,6.6894073,22:44:33,
6.071701,-3.6870728,6.6702423,22:44:33,
6.205765,-3.672699,6.574478,22:44:33,
6.2201385,-3.7014313,6.5409546,22:44:34,
6.22493,-3.7780457,6.521805,22:44:34,
6.200989,-3.648758,6.5553284,22:44:34,
5.501877,-3.7732544,7.1203613,22:44:34,
5.252884,-3.9743805,7.618347,22:44:35,
3.9312744,-8.67659,5.5641174,22:44:35,
4.577713,-3.6296082,5.755661,22:44:35,
3.4141388,-3.5721436,6.9671326,22:44:35,
3.6870728,-5.4061127,6.7133484,22:44:36,
4.323929,-4.754883,7.0724792,22:44:36,
4.304779,-5.1954193,7.206543,22:44:36,
4.697418,-4.9990997,7.053314,22:44:36,
3.9217072,-3.8211517,7.7620087,22:44:37,
3.8690338,-4.3430786,7.3741455,22:44:37,
3.2273865,-4.888962,6.430832,22:44:37,
3.9743805,-6.46434,7.067688,22:44:37,
5.8849487,-3.4428558,7.2831573,22:44:38,
5.659897,-3.4955292,6.981491,22:44:38,
5.803543,-4.098877,6.660675,22:44:38,
5.8322754,-4.4244843,6.454773,22:44:38,
5.9711456,-4.5681305,6.4691315,22:44:39,
5.875366,-4.855438,6.200989,22:44:39,
5.937622,-4.8841705,6.1243744,22:44:39,
