angleX,angleY,angleZ,Time,
1.0247192,-9.595963,1.474823,22:47:23,
1.0007782,-9.682159,1.6232758,22:47:23,
0.8379669,-9.557648,1.7381897,22:47:24,
0.83317566,-9.56723,1.4221497,22:47:24,
-0.02394104,-8.422806,-0.5315094,22:47:24,
-0.02394104,-8.422806,-0.5315094,22:47:24,
7.9391785,-4.984726,5.1954193,22:47:25,
7.2592163,1.9967651,3.4380798,22:47:25,
-1.1923065,5.463562,4.285614,22:47:25,
-7.005432,6.9384003,2.173935,22:47:26,
-1.3838501,5.0134583,4.50589,22:47:26,
8.877701,-3.4667969,-2.9161377,22:47:27,
9.768341,-3.6104584,-3.150772,22:47:27,
8.255203,-2.7916412,-3.7205963,22:47:27,
9.313446,-2.6336212,-2.8874054,22:47:27,
8.365341,-2.6384125,-3.6535492,22:47:28,
8.652649,-2.4995422,-2.8921967,22:47:28,
8.097183,-3.3901825,-2.858673,22:47:28,
9.935944,-3.1555634,-2.652771,22:47:28,
9.117126,-2.8778381,-3.1411896,22:47:29,
9.912003,-3.0119019,-3.7972107,22:47:29,
6.6319427,-3.1172485,-3.289627,22:47:29,
8.408432,-3.1890717,-4.0174713,22:47:29,
8.231262,-3.2800598,-3.6774902,22:47:30,
8.255203,-4.7500916,-3.739746,22:47:30,
7.4411774,-3.1363983,-5.3342743,22:47:30,
7.953537,-3.0741577,-4.218582,22:47:30,
7.934387,-3.1316223,-4.2951965,22:47:31,
8.662216,-3.2369537,-3.533844,22:47:31,
8.374924,-3.1890717,-3.4667969,22:47:31,
8.508987,-3.509903,-4.03183,22:47:31,
8.580826,-3.284851,-3.6822815,22:47:32,
8.719681,-3.4141388,-4.01268,22:47:32,
8.767563,-3.0119019,-3.9456482,22:47:32,
8.355759,-3.265686,-3.5003204,22:47:32,
8.470688,-3.5051117,-3.5960846,22:47:33,
8.298309,-3.4572296,-3.3566742,22:47:33,
8.599976,-3.399765,-3.6391907,22:47:33,
8.475479,-3.4045563,-3.5960846,22:47:33,
8.633499,-3.3327332,-3.447647,22:47:34,
8.53772,-3.3183594,-3.5625763,22:47:34,
8.523361,-3.2944183,-3.5482025,22:47:34,
8.398865,-3.308792,-3.6822815,22:47:34,
8.494629,-3.3662415,-3.5913086,22:47:35,
8.451538,-3.284851,-3.648758,22:47:35,
8.470688,-3.3327332,-3.648758,22:47:35,
8.432373,-3.4667969,-3.6774902,22:47:35,
8.547302,-3.4380798,-3.6104584,22:47:36,
8.355759,-3.3231506,-3.5721436,22:47:36,
8.3940735,-3.284851,-3.5913086,22:47:36,
8.489838,-3.3040009,-3.648758,22:47:36,
8.48027,-3.313568,-3.6343994,22:47:37,
8.494629,-3.3231506,-3.6152496,22:47:37,
8.710114,-3.284851,-3.6296082,22:47:37,
8.465897,-3.2273865,-3.667923,22:47:37,
8.418015,-3.3231506,-3.6535492,22:47:38,
8.427597,-3.3375244,-3.667923,22:47:38,
8.403656,-3.2561188,-3.667923,22:47:38,
8.580826,-3.3949738,-3.6583405,22:47:38,
8.465897,-3.26091,-3.6631317,22:47:39,
8.3797,-3.375824,-3.6152496,22:47:39,
8.599976,-3.3327332,-3.605667,22:47:39,
8.532928,-3.485962,-3.6391907,22:47:39,
8.585602,-3.3949738,-3.5960846,22:47:40,
8.633499,-3.3470917,-3.557785,22:47:40,
8.403656,-3.3375244,-3.5865173,22:47:40,
8.374924,-3.4045563,-3.6870728,22:47:40,
8.365341,-3.4093475,-3.7445374,22:47:41,
8.432373,-3.4045563,-3.830719,22:47:41,
8.465897,-3.4620209,-3.8019867,22:47:41,
8.255203,-3.3231506,-3.7493134,22:47:41,
8.413223,-3.3040009,-3.69664,22:47:42,
8.571243,-3.2800598,-3.6391907,22:47:42,
8.556885,-3.26091,-3.6008759,22:47:42,
8.250412,-3.3949738,-3.5194702,22:47:42,
8.3797,-3.1555634,-2.1835175,22:47:43,
6.1291504,-6.861786,-1.335968,22:47:43,
4.1611176,-9.519348,-1.7286072,22:47:43,
-2.9113464,-8.599976,-2.6192627,22:47:44,
-4.6830597,-8.48027,-2.015915,22:47:44,
-3.26091,-8.465897,-1.9345093,22:47:44,
-4.1323853,-8.475479,-4.5681305,22:47:45,
-2.3894196,-9.112335,-3.7253723,22:47:45,
-2.3989868,-9.591171,-2.7724915,22:47:45,
