angleX,angleY,angleZ,Time,
2.379837,-7.2225037,5.9982758,23:04:03,
2.4388885,-7.5321655,6.159485,23:04:03,
2.58255,-7.228897,6.116394,23:04:04,
2.651184,-7.003845,8.298309,23:04:04,
4.1579285,-5.6024323,7.8354187,23:04:04,
2.3223724,5.2161713,1.4524841,23:04:05,
-3.2098236,8.135498,2.9879608,23:04:05,
-2.473999,8.914413,2.8953857,23:04:05,
-3.358261,7.4651184,1.246582,23:04:05,
5.667877,3.3231506,4.11644,23:04:06,
9.639053,-2.783661,5.0198517,23:04:06,
9.927963,-5.2464905,4.186661,23:04:06,
6.523407,-5.599243,1.4604645,23:04:06,
8.32225,-4.2728577,-0.9433136,23:04:07,
8.917603,-4.467575,-1.0183411,23:04:07,
8.550491,-4.646347,-1.1859283,23:04:07,
8.103577,-5.2959747,-1.3487396,23:04:07,
8.6414795,-5.038986,-1.409378,23:04:08,
8.253616,-4.8586426,-1.583374,23:04:08,
8.244034,-5.283203,-1.6695557,23:04:08,
8.576035,-5.056549,-0.81562805,23:04:08,
8.485046,-4.831497,-1.3886414,23:04:09,
8.941544,-5.256073,-1.1492157,23:04:09,
8.6414795,-4.778824,-1.2801056,23:04:09,
8.116348,-4.8634186,-1.5338898,23:04:09,
8.612747,-4.804367,-1.4716339,23:04:10,
8.446747,-4.7229614,-1.4077911,23:04:10,
8.483459,-4.8426666,-1.425354,23:04:10,
8.501007,-4.783615,-1.4029999,23:04:10,
8.387695,-4.8346863,-1.5067444,23:04:11,
8.402054,-4.7852173,-1.5737915,23:04:11,
8.440353,-4.7963867,-1.5259094,23:04:11,
8.378113,-4.7644653,-1.5099487,23:04:11,
8.402054,-4.778824,-1.4875946,23:04:12,
8.614334,-4.8570404,-1.5370789,23:04:12,
8.389282,-4.8410797,-1.4317322,23:04:12,
8.449936,-4.7022095,-1.4381104,23:04:12,
8.52655,-4.7500916,-1.3407593,23:04:13,
8.579224,-4.620804,-1.3104248,23:04:13,
8.576035,-4.6607056,-1.3822479,23:04:13,
8.478668,-4.646347,-1.4157715,23:04:13,
8.470688,-4.692642,-1.4221497,23:04:14,
8.477066,-4.6958313,-1.4540863,23:04:14,
8.456314,-4.625595,-1.3982086,23:04:14,
8.441956,-4.6782684,-1.4413147,23:04:14,
8.6909485,-4.7213593,-1.3934326,23:04:15,
8.494629,-4.7022095,-1.4077911,23:04:15,
8.336609,-4.6303864,-1.4844055,23:04:15,
8.454727,-4.7453156,-1.5051575,23:04:15,
8.295105,-4.63678,-1.5067444,23:04:16,
8.548889,-4.681473,-1.4333344,23:04:16,
8.497818,-4.7437134,-1.4907837,23:04:16,
8.478668,-4.6766663,-1.4971771,23:04:16,
8.430786,-4.738922,-1.4556732,23:04:17,
8.497818,-4.6814575,-1.4413147,23:04:17,
8.652649,-4.6623077,-1.3535309,23:04:17,
8.451538,-4.735733,-1.5706024,23:04:17,
8.456314,-4.7405243,-1.5418701,23:04:18,
8.475479,-4.649536,-1.5418701,23:04:18,
8.51857,-4.7165833,-1.470047,23:04:18,
8.406845,-4.705414,-1.5450592,23:04:18,
8.449936,-4.780426,-1.5163269,23:04:19,
8.477066,-4.6830597,-1.5083466,23:04:19,
8.524963,-4.6782684,-1.495575,23:04:19,
8.504211,-4.668701,-1.498764,23:04:19,
8.489838,-4.644745,-1.4844055,23:04:20,
8.437164,-4.7070007,-1.4077911,23:04:20,
8.470688,-4.639969,-1.4556732,23:04:20,
8.5520935,-4.6830597,-1.4413147,23:04:20,
8.547302,-4.5920715,-1.3934326,23:04:21,
8.528152,-4.5920715,-1.3694763,23:04:21,
8.585602,-4.5681305,-1.2066803,23:04:21,
8.609543,-4.6064453,-1.1587982,23:04:21,
8.403656,-4.649536,-1.2114716,23:04:22,
8.528152,-4.510681,-1.0247192,23:04:22,
8.53772,-4.802765,-1.154007,23:04:22,
8.512192,-4.7277527,-1.3295746,23:04:22,
8.481857,-4.7979736,-1.3040466,23:04:23,
8.288727,-4.8857727,-1.5562286,23:04:23,
8.244034,-4.962372,-1.5977325,23:04:23,
7.6454926,-4.7293396,-1.8211823,23:04:23,
6.23291,-6.821884,-0.96406555,23:04:24,
4.916092,-9.091583,-0.5825958,23:04:24,
0.4086151,-9.838577,-3.104477,23:04:24,
-0.8523407,-9.963074,-3.0773468,23:04:24,
-1.3136139,-9.078812,-4.9512024,23:04:25,
-0.45489502,-8.569641,-5.3694,23:04:25,
-0.1308899,-8.815445,-5.094864,23:04:25,
-0.6017456,-8.38768,-5.0166473,23:04:25,
-0.15483093,-8.70372,-4.7070007,23:04:26,
-0.37348938,-8.631897,-4.7915955,23:04:26,
-0.2936859,-8.70372,-4.628784,23:04:26,
-0.17877197,-8.682968,-4.660721,23:04:26,
